option_id,selection,result
1,I or a family member has been the victim of a crime committed in the US.,"U-Visa: If you have been the victim of a crime, then you may be eligible for a U visa, a status for certain crime victims and their close family members. Crimes covered include: abduction, abusive sexual contact, blackmail, domestic violence, extortion, false imprisonment, female genital mutation, felonious assualt, foreign labor contractor fraud, hostage, incest, involuntary servitude, kidnapping, manslaughter, murder, obstruction of justice, peonage, perjury, prostitution, rape, sexual assualt, sexual exploitation, slave trade, stalking, torture, trafficking, witness tampering, unlawful criminal restraint"
2,"I have been the victim of abuse caused by a spouse, parent, lawful permanent resident.","Regardless of your gender, if you have been abused by a US citizen or lawful permanent resident spouse, parent or adult son or daughter, then you may be eligible to file a VAWA self-petition. Abuse may be physical or psychological."
3,I have been convicted of an aggravated felony.,"Unfortunately, being convicted of a felony may make you ineligible for most programs. If you are currently detained, the government has established a hotline for you to call to discuss possible relief options: 855-448-6903."
4,You are under 18 years of age and have been abused by one of your parents.,"If you are under 18 and you have been abused, abandoned or neglected by at least one parent you may be eligible for Special Immigrant Juvenile Status."
5,"You have a spouse, parent or adult child who is a citizen.",Immigration law allows US citizens to petition for certain eligible relatives to come and live permanently in the US.  A permanent resident may petition for his/her spouse and unmarried child(ren) of any age to immigrate to the United States. Congress has limited the number of relatives who may immigrate under these categories each year so there is generally a waiting period before an immigrant visa number becomes available.
6,"You have a spouse, parent or adult child who is a green card holder (lawful permanent resident).",Green card holders can petition for their spouse or unmarried children. They can also petition for unmarried children under 21 who are relatives.
7,"You have a spouse, parent or child who is/was in the armed forces.","If you are the spouse, parent, son or daughter of someone on active duty in the military, or a veteran, you may be eligible for an immigration relief program known as parole in place."
8,At least one of your parents was a US Citizen when you were born.,"If one or both of your parents was a US citizen when you were born, then you may already be a U.S. citizen through acquisition of citizenship."
9,"I fled my home country and am afraid of returning. OR I was seriously harmed in my home country because of my political beliefs, nationality, sexual identity or religions.","You may qualify for asylum in the US. To qualify, you must show that you were seriously harmed or presently fear future serious harm by others because of your race, religion, national original, political opinion, membership in a particular social group, or sexual identity."
10,Being deported would cause extreme hardship to my immediate family members who are citizens or lawful permanent residents.,You may be eligible for cancellation of removal for non-permanent residents.
11,I have been continuously present in the US for 10 years or more and have been of good moral character.,You may be eligible for cancellation of removal for permanent residents.
12,None of the above apply to me,"Search for a lowcost or pro-bono immigration legal service provider <a href=""www.immigrationadvocates.org/nonprofit/legaldirectory"">near</a> you."
