option_id,selection,result
1,Soy (o un familiar) ha sido víctima de un crimen comprometido en los EEUU.,"Si usted ha sido el víctima de un crimen, entonces usted podría ser elegible para un U-visa, un estatus para algunos víctimas de crimenes definidos y sus familiares inmediatos. Crimenes incluidos son: el secuestro, abuso sexual,  chantaje, la violencia doméstica, extorsión, falso encarcelamiento, mutilación gential femenina, asalto criminal, el fraude contratista de mano de obra extranjera, ser rehén, el incesto, servidumbre involuntaria, homicidio, asesinato, obstrucción de la justicia, el peonaje, el perjurio, la prostitución, violación, asalto sexual, la explotación sexual, la trata de esclavos, el acecho, la tortura, el tráfico humano, manipulación de testigos, restricción de la libertad legal."
2,He sido víctima de violencia doméstica o de un abuso sexual comprometido en los EEUU.,"Independientemente, de su sexo, si usted ha sido abusado por un ciudadano estadounidense o residente permanente legal cónyuge, padre o hijo adulto, entonces usted puede ser elegible para presentar una auto-petición VAWA. El abuso puede ser físico o psicológico."
3,He sido condenado de un delito agravado.,"De haber sido condenado por un delito grave puede hacerla no apta para la mayoría de los programas. Si está detenido en la actualidad, el gobierno ha establecido una línea telefónica para que usted llame para discutir las posibles opciones de alivio: 855-448-6903."
4,Tengo menos de 18 años y un familiar me ha abusado.,"Si es menor de 18 años y que ha sido abusado, abandonados o descuidados por al menos uno de los padres puede ser elegible para el Estatus Especial de Inmigrante Juvenil."
5,Tengo un familiar inmediato que tiene una tarjeta verde.,"La ley de inmigración permite a los ciudadanos de los Estados Unidos a la solicitud de ciertos familiares elegibles para venir a vivir permanentemente en los EE.UU.. Un residente permanente puede solicitar para su / su cónyuge e hijo (s) solteros de cualquier edad para emigrar a los Estados Unidos. El Congreso ha limitado el número de parientes que pueden inmigrar bajo esta categoría cada año, por lo general hay un período de espera antes de que un número de visa esté disponible."
6,Tengo un familiar inmediato que es un ciudadano.,Los titulares de tarjetas verdes pueden hacer una petición para su cónyuge o hijos solteros. También pueden solicitar para los hijos solteros menores de 21 años que son parientes.
7,Tengo un familiar inmediate que ha servido en las fuerzas armadas.,"Si usted es el cónyuge, padre, hijo o hija de alguien en servicio activo en el ejército, o un veterano, usted puede ser elegible para un programa de alivio migratorio conocido como la libertad condicional en su lugar."
8,Uno de mis padres era un diudadano de los E.E.U.U. cuando nací.,"Si uno o ambos de sus padres era ciudadano estadounidense cuando usted nació, entonces es posible que ya sea ciudadano de EE.UU. a través de la adquisición de la ciudadanía."
9,"Huí mi país de origen y tengo miedo de regresar - o fui perseguido por mis creencias políticas, nacionalidad, identidad sexual o religión.","Usted puede calificar para asilo en los EE.UU.. Para calificar, usted debe demostrar que usted fue seriamente afectada o actualmente temer un perjuicio grave futuro por otros a causa de su raza, religión, original, nacional, opiniones políticas, pertenencia a un determinado grupo social, o identidad sexual."
10,Estar deportado causará necesidad extrema a mis familiares que son ciudadanos de los E.E.U.U o residentes permantes legales.,Usted puede ser elegible para la cancelación de remoción para los residentes no permanentes.
11,Estaba continualmente en los E.E.U.U. para 10 años o más y mantenía buen carácter.,Usted puede ser elegible para la cancelación de la deportación de residentes permanentes.
12,Ninguna de los anteriores me aplican.,Búsqueda de un bajo costo o pro-bono proveedor de servicios legales de inmigración
